Species,Genotype,Sample ID,Sample_ID,Date Sampled,Experiment phase,Treatment,RNA Qubit Date,Qubit RNA Sample Input Quantity (uL),RNA Broad Range Qubit Concentration (ng/uL),Nanodrop Date (RNA only),A-260 (RNA),A-280 (RNA),260/280 (RNA),260/230 (RNA),Nanodrop RNA concentration (ng/uL),Sequence File Sample Name,% GC (Raw reads),Average Read Length (Raw reads),Median Read Length (Raw reads),% Failed (Raw reads),Raw Reads (Million),Sample Name,% Duplication (Trimmed reads),% > Q30 (Trimmed reads),Mb Q30 bases (Trimmed reads),M Reads After Filtering (Trimmed reads),GC content (Trimmed reads),% Passed Filter (Trimmed reads),% Adapter (Removed from trimmed reads),Mapping Rate (Post-trimming alignment)
Pcli,A,111,,3/22/22,Pre-treatment,control,,,,1/12/23,3.871,1.879,2.06,1.34,154.8,Pcli-111_S107_L001_R1_001,44%,100 bp,100 bp,45%,10.9,Pcli-111_S107_L001_R1_001,81.00%,95.30%,1048.6,10.9,44.50%,98.00%,0.10%,68.47%
Pcli,B,114,,3/22/22,Pre-treatment,variable,12/1/22,5,28.6,1/4/23,1.039,0.546,1.9,0.82,41.56,Pcli-114_S108_L001_R1_001,43%,100 bp,100 bp,45%,0.5,Pcli-114_S108_L001_R1_001,64.20%,94.90%,44,0.5,44.20%,97.20%,0.20%,62.22%
Pcli,C,115,,3/22/22,Pre-treatment,control,,,,1/12/23,5.121,2.455,2.09,1.45,204.8,Pcli-115_S109_L001_R1_001,43%,100 bp,100 bp,45%,10.6,Pcli-115_S109_L001_R1_001,79.70%,95.30%,1015.2,10.6,43.60%,97.80%,0.20%,64.07%
Pcli,B,120,,3/22/22,Pre-treatment,variable,1/6/23,2,223,1/6/23,6.963,3.241,2.15,1.72,278.5,Pcli-120_S110_L001_R1_001,43%,100 bp,100 bp,45%,20.2,Pcli-120_S110_L001_R1_001,79.70%,95.30%,1945.3,20.2,43.20%,98.10%,0.10%,60.21%
Pcli,B,124,,4/20/22,last day of treatment,control,12/1/22,5,232,1/4/23,10.46,5.021,2.08,1.72,418.2,Pcli-124_S115_L001_R1_001,43%,100 bp,100 bp,45%,2.9,Pcli-124_S115_L001_R1_001,78.80%,95.30%,276.2,2.9,43.50%,97.40%,0.20%,62.71%
Pcli,A,126,,3/22/22,Pre-treatment,control,,,,1/12/23,6.23,2.879,2.16,1.82,249.2,Pcli-126_S111_L001_R1_001,43%,100 bp,100 bp,45%,19.8,Pcli-126_S111_L001_R1_001,76.30%,95.30%,1904.4,19.8,43.80%,98.10%,0.10%,63.79%
Pcli,A,128,,3/22/22,Pre-treatment,variable,12/1/22,5,115,1/4/23,3.95,1.816,2.18,2.04,158,Pcli-128_S116_L001_R1_001,44%,100 bp,100 bp,45%,23,Pcli-128_S116_L001_R1_001,75.50%,95.30%,2207.9,23,43.90%,98.10%,0.20%,65.80%
Pcli,A,130,,4/20/22,last day of treatment,variable,,,,1/12/23,5.157,2.452,2.1,1.53,206.3,Pcli-130_S117_L001_R1_001,44%,100 bp,100 bp,45%,23.4,Pcli-130_S117_L001_R1_001,81.70%,95.40%,2254,23.4,44.50%,98.20%,0.10%,69.77%
Pcli,A,132,,4/20/22,last day of treatment,variable,,,,1/12/23,4.33,2.172,1.99,1.07,173.2,Pcli-132_S118_L001_R1_001,44%,100 bp,100 bp,45%,0.5,Pcli-132_S118_L001_R1_001,75.70%,95.30%,47.5,0.5,44.10%,97.50%,0.30%,68.45%
Pcli,C,135,,4/20/22,last day of treatment,control,,,,1/12/23,2.529,1.299,1.95,1.01,101.1,Pcli-135_S112_L001_R1_001,43%,100 bp,100 bp,45%,3.4,Pcli-135_S112_L001_R1_001,77.90%,95.30%,330.3,3.4,44.20%,97.50%,0.20%,65.99%
Pcli,C,148,,3/22/22,Pre-treatment,control,,,,1/12/23,3.699,1.772,2.09,1.47,148,Pcli-148_S113_L001_R1_001,,100 bp,100 bp,45%,15,Pcli-148_S113_L001_R1_001,80.10%,95.20%,1435.2,15,43.70%,97.90%,0.10%,63.69%
