Depth,Name,Temperature,Genotype,Replicate,Treatment,Statistic,Num_Cells,Average_Control,Adjusted_Value_T,Adjusted_Value_A
> > > ,28 c 2_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,28,3,2,ecoli_c,0.97,70,1.12,-0.15,-1.096666667
> > > ,28 c 2_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,28,3,2,beads_c,0.96,212,1.38,-0.42,-4.416666667
> > ,28 c 3_Data Source_gene3 - 1.fcs/not junk/dextranepositive,28,3,3,dextrane_c,53.1,11766,55.8,-2.7,-19.96666667
> > > ,28 c 3_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,28,3,3,ecoli_c,1,67,1.12,-0.12,-1.066666667
> > > ,28 c 3_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,28,3,3,beads_c,0.95,209,1.38,-0.43,-4.426666667
> > ,28 dext 1_Data Source_gene3 - 1.fcs/not junk/dextranepositive,28,3,1,dextrane,73.8,7978,55.8,18,0.73333333
> > ,28 dext 2_Data Source_gene3 - 1.fcs/not junk/dextranepositive,28,3,2,dextrane,72.3,7844,55.8,16.5,-0.76666667
> > ,28 dext 3_Data Source_gene3 - 1.fcs/not junk/dextranepositive,28,3,3,dextrane,73.1,15765,55.8,17.3,0.03333333
> > > ,32 bact 1_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,32,3,1,ecoli,2.65,232,0.893333333,1.756666667,0.583333333
> > > ,32 bact 2_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,32,3,2,ecoli,0.86,59,0.893333333,-0.033333333,-1.206666667
> > > ,32 bact 3_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,32,3,3,ecoli,1.29,100,0.893333333,0.396666667,-0.776666667
> > > ,32 beads 1_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,32,3,1,beads,5.49,1287,1.42,4.07,0.113333333
> > > ,32 beads 2_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,32,3,2,beads,6.01,1386,1.42,4.59,0.633333333
> > > ,32 beads 3_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,32,3,3,beads,5.25,1232,1.42,3.83,-0.126666667
> > ,32 c 1_Data Source_gene3 - 1.fcs/not junk/dextranepositive,32,3,1,dextrane_c,62.3,13202,60.13333333,2.166666667,-10.76666667
> > > ,32 c 1_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,32,3,1,ecoli_c,1.17,96,0.893333333,0.276666667,-0.896666667
> > > ,32 c 1_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,32,3,1,beads_c,1.94,409,1.42,0.52,-3.436666667
> > ,32 c 2_Data Source_gene3 - 1.fcs/not junk/dextranepositive,32,3,2,dextrane_c,55.2,11348,60.13333333,-4.933333333,-17.86666667
> > > ,32 c 2_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,32,3,2,ecoli_c,0.6,34,0.893333333,-0.293333333,-1.466666667
> > > ,32 c 2_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,32,3,2,beads_c,0.62,126,1.42,-0.8,-4.756666667
> > ,32 c 3_Data Source_gene3 - 1.fcs/not junk/dextranepositive,32,3,3,dextrane_c,62.9,13084,60.13333333,2.766666667,-10.16666667
> > > ,32 c 3_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,32,3,3,ecoli_c,0.91,77,0.893333333,0.016666667,-1.156666667
> > > ,32 c 3_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,32,3,3,beads_c,1.7,351,1.42,0.28,-3.676666667
> > ,32 dext 1_Data Source_gene3 - 1.fcs/not junk/dextranepositive,32,3,1,dextrane,70,7475,60.13333333,9.866666667,-3.06666667
> > ,32 dext 2_Data Source_gene3 - 1.fcs/not junk/dextranepositive,32,3,2,dextrane,71.1,7479,60.13333333,10.96666667,-1.96666667
> > ,32 dext 3_Data Source_gene3 - 1.fcs/not junk/dextranepositive,32,3,3,dextrane,70.3,7507,60.13333333,10.16666667,-2.76666667
> > > ,36 bact 1_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,36,3,1,ecoli,2.95,335,0.833333333,2.116666667,0.883333333
> > > ,36 bact 2_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,36,3,2,ecoli,0.9,67,0.833333333,0.066666667,-1.166666667
> > > ,36 bact 3_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,36,3,3,ecoli,1.06,72,0.833333333,0.226666667,-1.006666667
> > > ,36 beads 1_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,36,3,1,beads,4.51,934,1.576666667,2.933333333,-0.866666667
> > > ,36 beads 2_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,36,3,2,beads,7.88,1325,1.576666667,6.303333333,2.503333333
> > > ,36 beads 3_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,36,3,3,beads,4.86,1011,1.576666667,3.283333333,-0.516666667
> > ,36 c 1_Data Source_gene3 - 1.fcs/not junk/dextranepositive,36,3,1,dextrane_c,63.2,13231,66.03333333,-2.833333333,-9.86666667
> > > ,36 c 1_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,36,3,1,ecoli_c,0.6,41,0.833333333,-0.233333333,-1.466666667
> > > ,36 c 1_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,36,3,1,beads_c,0.94,197,1.576666667,-0.636666667,-4.436666667
> > ,36 c 2_Data Source_gene3 - 1.fcs/not junk/dextranepositive,36,3,2,dextrane_c,70.5,14853,66.03333333,4.466666667,-2.56666667
> > > ,36 c 2_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,36,3,2,ecoli_c,1.37,130,0.833333333,0.536666667,-0.696666667
> > > ,36 c 2_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,36,3,2,beads_c,2.9,608,1.576666667,1.323333333,-2.476666667
> > ,36 c 3_Data Source_gene3 - 1.fcs/not junk/dextranepositive,36,3,3,dextrane_c,64.4,13237,66.03333333,-1.633333333,-8.66666667
> > > ,36 c 3_Data Source_gene3 - 1.fcs/not junk/not loose bacteria/phagocytes_ecoli,36,3,3,ecoli_c,0.53,38,0.833333333,-0.303333333,-1.536666667
> > > ,36 c 3_Data Source_gene3 - 1.fcs/not junk/not loose beads/phagocytes_beads,36,3,3,beads_c,0.89,183,1.576666667,-0.686666667,-4.486666667
> > ,36 dext 1_Data Source_gene3 - 1.fcs/not junk/dextranepositive,36,3,1,dextrane,76.7,15617,66.03333333,10.66666667,3.63333333
> > ,36 dext 2_Data Source_gene3 - 1.fcs/not junk/dextranepositive,36,3,2,dextrane,76.4,7862,66.03333333,10.36666667,3.33333333
> > ,36 dext 3_Data Source_gene3 - 1.fcs/not junk/dextranepositive,36,3,3,dextrane,76.6,7650,66.03333333,10.56666667,3.53333333
